well_id,z_m,Pb_ppm,Cu_ppm,Fe_ppm,Zn_ppm,Ca_ppm,K_ppm,Mg_ppm,P_ppm,Na_ppm
WLW5,183.902,6.482300217,13.37034962,3383.901057,31.01735193,1025.122331,266.1976266,2460.640046,193.663355,57.5055158
WLW5,183.802,6.886458357,13.77401036,1913.606404,27.55356708,1029.488899,180.9971172,1390.109608,169.9201655,53.74144469
WLW5,183.702,7.671757149,20.16113264,2185.871333,31.08698418,515.8618334,172.682582,796.948133,178.1837052,48.23868814
WLW5,183.602,12.92212024,13.95737221,2430.601629,24.67114862,853.4481423,164.6764862,1205.146357,158.6685575,53.17947124
WLW6,185.017,25.06089027,12.39832631,2104.243592,21.69442307,300.927343,96.88774956,582.5083791,308.7773946,50.3336172
WLW6,184.910,25.132532,13.84660537,2844.908552,22.86733654,300.927343,114.4589241,751.3974669,199.8140834,50.3336172
WLW6,184.803,7.606742205,14.77888041,1246.893043,8.703321928,1680.42525,63.4908724,509.8883797,140.1209723,44.49764448
WLW6,184.725,5.224737201,7.339316395,2325.724184,9.00928847,813.262407,95.8248671,702.9506342,55.93725669,38.66167177
WLW6,184.614,4.439867672,5.778264417,1674.909322,9.34415878,651.2982154,108.4935739,648.1435865,58.51675306,33.41450594
WLW6,184.503,4.93567726,6.456197531,1885.277561,11.84595965,626.1487507,123.9916418,706.1092016,54.00695585,33.1495443
WLW6,184.346,4.862990768,8.448462959,2096.756613,17.56564751,710.9243844,138.6270976,832.2662247,89.1342072,30.61264084
WLW6,184.203,6.01099662,11.21455836,2112.536018,19.00626074,687.7262687,143.6365801,783.4756362,106.1688899,31.96961072
WLW6,184.125,8.48696231,13.45596517,2711.028235,26.95391981,773.5920903,149.6655459,825.5377246,123.1789073,25.85212559
WLW6,184.014,8.091028122,15.72354324,2713.146679,26.33242929,770.4139152,165.7194231,1006.647298,175.989099,38.64253763
WLW6,183.903,5.725237755,12.85482786,3914.750183,35.22602847,838.7532052,220.140433,1223.634074,170.4362793,35.55805887
WLW7,185.930,51.43956499,16.9912911,4206.940298,74.79891756,653.3962631,223.2502619,483.7679388,390.0439128,28.3269427
WLW7,185.819,20.96777785,11.92326294,4829.274081,25.5708266,276.2238535,183.042683,464.3725423,350.2308813,33.96025154
WLW7,185.708,3.437816054,3.500434212,1976.170786,12.76404254,161.0309385,69.43127235,314.3786255,149.3321517,28.89734886
WLW7,185.608,6.344114946,3.130489958,1454.503229,13.79966152,183.7194668,65.77849767,377.6647618,106.8237859,26.44455317
WLW7,185.508,4.295001809,2.243989183,1137.790306,10.98416759,129.9512195,52.60758012,308.8615749,76.33390091,20.54743125
