well,core,section,section_recovery_cm,factor,section_length_cm,cum_depth_cm,bottom_elev_m,top_elev_m
WLW9,3.0,8.0,10.0,1.07142857143,10.7142857143,79.2857142857,184.764810857,184.871953714
WLW9,3.0,9.0,10.0,1.07142857143,10.7142857143,90.0,184.657668,184.764810857
WLW9,4.0,10.0,8.0,1.07142857143,8.57142857143,98.5714285714,184.571953714,184.657668
WLW9,4.0,11.0,10.0,1.07142857143,10.7142857143,109.285714286,184.464810857,184.571953714
WLW9,4.0,12.0,10.0,1.07142857143,10.7142857143,120.0,184.357668,184.464810857
WLW10,1.0,1.0,10.0,1.0,10.0,10.0,185.0565512,185.1565512
WLW10,1.0,2.0,10.0,1.0,10.0,20.0,184.9565512,185.0565512
WLW10,1.0,3.0,10.0,1.0,10.0,30.0,184.8565512,184.9565512
WLW10,2.0,4.0,6.0,1.15384615385,6.92307692308,36.9230769231,184.787320431,184.8565512
WLW10,2.0,5.0,10.0,1.15384615385,11.5384615385,48.4615384615,184.671935815,184.787320431
WLW10,2.0,6.0,10.0,1.15384615385,11.5384615385,60.0,184.5565512,184.671935815
WLW10,3.0,7.0,6.0,1.15384615385,6.92307692308,66.9230769231,184.487320431,184.5565512
WLW10,3.0,8.0,10.0,1.15384615385,11.5384615385,78.4615384615,184.371935815,184.487320431
WLW10,3.0,9.0,10.0,1.15384615385,11.5384615385,90.0,184.2565512,184.371935815
WLW10,4.0,10.0,4.0,1.25,5.0,95.0,184.2065512,184.2565512
WLW10,4.0,11.0,10.0,1.25,12.5,107.5,184.0815512,184.2065512
WLW10,4.0,12.0,10.0,1.25,12.5,120.0,183.9565512,184.0815512
WLW12,1.0,1.0,10.0,1.0,10.0,10.0,185.738084,185.838084
WLW12,1.0,2.0,10.0,1.0,10.0,20.0,185.638084,185.738084
WLW12,1.0,3.0,10.0,1.0,10.0,30.0,185.538084,185.638084
WLW12,2.0,4.0,5.3,1.47783251232,7.83251231527,37.8325123153,185.459758877,185.538084
WLW12,2.0,5.0,9.0,1.47783251232,13.3004926108,51.1330049261,185.326753951,185.459758877
WLW12,2.0,6.0,6.0,1.47783251232,8.86699507389,60.0,185.238084,185.326753951
WLW12,3.0,7.0,0.0,6.66666666667,0.0,60.0,185.238084,185.238084
WLW12,3.0,8.0,0.0,6.66666666667,0.0,60.0,185.238084,185.238084
WLW12,3.0,9.0,4.5,6.66666666667,30.0,90.0,184.938084,185.238084
WLW12,4.0,10.0,10.0,1.0,10.0,100.0,184.838084,184.938084
WLW12,4.0,11.0,10.0,1.0,10.0,110.0,184.738084,184.838084
WLW12,4.0,12.0,10.0,1.0,10.0,120.0,184.638084,184.738084
WLW14,1.0,1.0,10.0,1.0,10.0,10.0,184.7511416,184.8511416
WLW14,1.0,2.0,10.0,1.0,10.0,20.0,184.6511416,184.7511416
WLW14,1.0,3.0,10.0,1.0,10.0,30.0,184.5511416,184.6511416
WLW14,2.0,4.0,0.0,1.5,0.0,30.0,184.5511416,184.5511416
WLW14,2.0,5.0,10.0,1.5,15.0,45.0,184.4011416,184.5511416
WLW14,2.0,6.0,10.0,1.5,15.0,60.0,184.2511416,184.4011416
WLW14,3.0,7.0,10.0,1.0,10.0,70.0,184.1511416,184.2511416
WLW14,3.0,8.0,10.0,1.0,10.0,80.0,184.0511416,184.1511416
WLW14,3.0,9.0,10.0,1.0,10.0,90.0,183.9511416,184.0511416
WLW14,4.0,10.0,10.0,1.5,15.0,105.0,183.8011416,183.9511416
WLW14,4.0,11.0,10.0,1.5,15.0,120.0,183.6511416,183.8011416
WLW14,4.0,12.0,0.0,1.5,0.0,120.0,183.6511416,183.6511416
