element,well_id,core_id,setion_id,depth_cm,z_m,r1_ppm,r3_ppm,av_ex,st_dev_ex
Cu,4,4,12,120,183.551,8.059,10.583,9.321,1.785
Cu,5,1,1,5,184.752,22.793,23.085,22.939,0.206
Cu,5,1,2,17.5,184.627,13.367,16.214,14.79,2.013
Cu,5,1,3,30,184.502,8.975,14.635,11.805,4.002
Cu,5,2,4,36.92,184.433,9.817,12.338,11.077,1.782
Cu,5,2,5,48.46,184.317,8.473,6.53,7.502,1.374
Cu,5,2,6,60,184.202,13.533,34.309,23.921,14.691
Cu,5,3,7,66,184.142,8.696,34.309,21.502,18.111
Cu,5,3,8,78,184.022,8.697,15.488,12.093,4.802
Cu,5,3,9,90,183.902,11.179,15.562,13.37,3.1
Cu,5,4,10,98.57,183.816,13.816,13.732,13.774,0.059
Cu,5,4,11,109.29,183.709,18.082,22.24,20.161,2.94
Cu,5,4,12,120,183.602,11.675,16.239,13.957,3.227
Cu,6,1,1,8.57,185.017,12.398,,12.398,
Cu,6,1,2,19.29,184.91,13.249,14.445,13.847,0.846
Cu,6,1,3,30,184.803,14.779,,14.779,
Cu,6,2,4,37.78,184.725,4.902,9.777,7.339,3.447
Cu,6,2,5,48.89,184.614,4.566,6.99,5.778,1.714
Cu,6,2,6,60,184.503,4.165,8.748,6.456,3.241
Cu,6,3,8,75.71,184.346,6.651,10.245,8.448,2.541
Cu,6,3,9,90,184.203,8.927,13.503,11.215,3.236
Cu,6,4,10,97.78,184.125,14.387,12.525,13.456,1.316
Cu,6,4,11,108.89,184.014,12.571,18.877,15.724,4.459
Cu,6,4,12,120,183.903,10.764,14.945,12.855,2.956
Cu,7,1,1,7.78,185.93,14.903,19.079,16.991,2.953
Cu,7,1,2,18.89,185.819,7.96,15.886,11.923,5.604
Cu,7,1,3,30,185.708,5.444,1.557,3.5,2.749
Cu,7,2,4,40,185.608,4.173,2.088,3.13,1.475
Cu,7,2,5,50,185.508,3.469,1.019,2.244,1.733
Cu,7,2,6,60,185.408,1.83,2.816,2.323,0.697
Cu,7,3,8,75.71,185.251,4.502,4.541,4.521,0.028
Cu,7,3,9,90,185.108,4.151,6.517,5.334,1.673
Cu,7,4,10,96,185.048,4.597,4.938,4.767,0.241
Cu,7,4,11,108,184.928,3.834,3.17,3.502,0.47
Cu,7,4,12,120,184.808,8.398,3.422,5.91,3.518
Cu,8,1,1 (NRx2),5,186.514,10.771,,10.771,
Cu,8,1,2,17.5,186.389,7.903,12.677,10.29,3.375
Cu,8,1,3,30,186.264,1.769,1.892,1.83,0.087
Cu,8,2,4,36.92,186.195,5.139,4.404,4.771,0.52
Cu,8,2,5,48.46,186.079,1.235,3.845,2.54,1.846
Cu,8,2,6,60,185.964,0.933,1.04,0.987,0.076
Cu,8,3,7,70,185.864,2.819,3.471,3.145,0.461
Cu,8,3,8,80,185.764,0.694,1.444,1.069,0.53
Cu,8,3,9,90,185.664,0.668,5.019,2.844,3.077
Cu,8,4,10,100,185.564,2.511,1.541,2.026,0.686
Cu,8,4,11,110,185.464,0.293,2.993,1.643,1.909
Cu,8,4,12,120,185.364,1.014,,1.014,
Cu,9,1,1 (NRx2),6,185.498,23.727,10.005,16.866,9.703
Cu,9,1,2,18,185.378,8.048,3.515,5.781,3.206
Cu,9,1,3,30,185.258,2.303,4.159,3.231,1.312
Cu,9,2,4,37.78,185.18,2.013,1.962,1.988,0.036
Cu,9,2,5,48.89,185.069,0.959,2.229,1.594,0.898
Cu,9,2,6,60,184.958,1.021,2.331,1.676,0.926
Cu,9,3,7,68.57,184.872,1.68,3.605,2.642,1.361
Cu,9,3,8,79.29,184.765,1.04,2.213,1.626,0.83
Cu,9,3,9,90,184.658,25.516,10.963,18.239,10.29
Cu,9,4,10,98.57,184.572,5.229,18.235,11.732,9.196
Cu,9,4,11,109.29,184.465,15.804,,15.804,
Cu,9,4,12,120,184.358,18.994,18.445,18.72,0.389
Cu,10,1,1,10,185.057,23.455,13.597,18.526,6.971
Cu,10,1,2,20,184.957,7.509,15.321,11.415,5.523
Cu,10,1,3,30,184.857,10.599,15.455,13.027,3.434
Cu,10,2,4,36.92,184.788,6.202,12.499,9.35,4.452
Cu,10,2,5,48.46,184.672,6.739,10.305,8.522,2.522
Cu,10,2,6,60,184.557,13.358,5.661,9.51,5.443
Cu,10,3,7,66.92,184.488,5.199,11.491,8.345,4.449
Cu,10,3,8,78.46,184.372,7.456,13.069,10.262,3.969
Cu,10,3,9,90,184.257,5.957,,5.957,
