element,well_id,core_id,setion_id,depth_cm,z_m,r1_ppm,r3_ppm,av_ex,st_dev_ex
P,8,4,10,100,185.564,156.931,113.177,135.054,30.939
P,8,4,11,110,185.464,46.246,46.208,46.227,0.027
P,8,4,12,120,185.364,28.864,36.391,32.627,5.322
P,9,1,1 (NRx2),6,185.498,750.353,,750.353,
P,9,1,2,18,185.378,83.455,217.434,150.445,94.738
P,9,1,3,30,185.258,245.133,124.907,185.02,85.012
P,9,2,4,37.78,185.18,336.487,109.568,223.027,160.456
P,9,2,5,48.89,185.069,235.656,75.423,155.539,113.301
P,9,2,6,60,184.958,138.386,66.842,102.614,50.589
P,9,3,7,68.57,184.872,149.923,86.21,118.067,45.052
P,9,3,8,79.29,184.765,48.541,62.895,55.718,10.15
P,9,3,9,90,184.658,-24.875,29.274,2.2,38.289
P,9,4,10,98.57,184.572,45.318,32.914,39.116,8.771
P,9,4,11,109.29,184.465,-0.663,21.921,10.629,15.97
P,9,4,12,120,184.358,79.201,,79.201,
P,10,1,1,10,185.057,281.812,249.691,265.751,22.713
P,10,1,2,20,184.957,124.421,145.713,135.067,15.056
P,10,1,3,30,184.857,148.862,75.49,112.176,51.882
P,10,2,4,36.92,184.788,56.311,104.372,80.342,33.984
P,10,2,5,48.46,184.672,77.463,92.607,85.035,10.708
P,10,2,6,60,184.557,654.853,63.55,359.201,418.114
P,10,3,7,66.92,184.488,119.242,8.614,63.928,78.225
P,10,3,8,78.46,184.372,95.073,73.235,84.154,15.442
P,10,3,9,90,184.257,479.908,168.211,324.059,220.403
P,10,4,10 (NRx1),95,184.207,227.957,,227.957,
P,10,4,11,107.5,184.082,10.524,142.268,76.396,93.157
P,10,4,12,120,183.957,216.339,164.292,190.316,36.802
Na,1,1,1,2.73,184.864,,37.823,37.823,
Na,1,1,2,16.36,184.727,,41.396,41.396,
Na,1,1,3,30,184.591,,34.887,34.887,
Na,1,2,4,39.31,184.498,,39.043,39.043,
Na,1,2,5,49.66,184.394,,39.293,39.293,
Na,1,2,6,60,184.291,,50.799,50.799,
Na,1,3,8,75,184.141,,58.234,58.234,
Na,1,3,9,90,183.991,,86.842,86.842,
Na,1,4,10,100,183.891,,93.032,93.032,
Na,1,4,11,110,183.791,,96.229,96.229,
Na,1,4,12,120,183.691,,134.976,134.976,
Na,2,1,1 (2 Samples),0,184.807,,66.206,66.206,
Na,2,1,2,15,184.657,,81.786,81.786,
Na,2,2,4,40,184.407,,59.277,59.277,
Na,2,2,5,50,184.307,,,,
Na,2,2,6,60,184.207,,41.042,41.042,
Na,2,3,7,70,184.107,,55.142,55.142,
Na,2,3,8,80,184.007,,72.511,72.511,
Na,2,3,9,90,183.907,,90.921,90.921,
Na,2,4,10,100,183.807,,76.591,76.591,
Na,2,4,11,110,183.707,,106.549,106.549,
Na,2,4,12,120,183.607,,108.095,108.095,
Na,3,1,2,14.21,184.728,,42.175,42.175,
Na,3,1,Missing,30,184.57,,,,
Na,3,2,5,45,184.42,,40.645,40.645,
Na,3,2,6,60,184.27,,49.467,49.467,
Na,3,3,8,75,184.12,,46.312,46.312,
Na,3,3,9,90,183.97,,48.378,48.378,
Na,3,4,10,100,183.87,,54.476,54.476,
Na,3,4,11,110,183.77,,42.22,42.22,
Na,3,4,12,120,183.67,,49.809,49.809,
Na,4,1,2,14.21,184.609,,85.147,85.147,
Na,4,1,3,30,184.451,,61.823,61.823,
Na,4,2,5,41.25,184.339,,269.039,269.039,
Na,4,2,6,60,184.151,,250.127,250.127,
Na,4,3,8,75.71,183.994,,112.727,112.727,
Na,4,3,9,90,183.851,,96.181,96.181,
Na,4,4,10,100,183.751,,125.654,125.654,
Na,4,4,11,110,183.651,,128.034,128.034,
Na,4,4,12,120,183.551,,118.079,118.079,
Na,5,1,1,5,184.752,,41.87,41.87,
Na,5,1,2,17.5,184.627,,37.063,37.063,
Na,5,1,3,30,184.502,,48.641,48.641,
Na,5,2,4,36.92,184.433,,38.261,38.261,
Na,5,2,5,48.46,184.317,,55.43,55.43,
Na,5,2,6,60,184.202,,47.693,47.693,
Na,5,3,7,66,184.142,,47.693,47.693,
Na,5,3,8,78,184.022,,94.932,94.932,
Na,5,3,9,90,183.902,,57.506,57.506,
Na,5,4,10,98.57,183.816,,53.741,53.741,
Na,5,4,11,109.29,183.709,,48.239,48.239,
Na,5,4,12,120,183.602,,53.179,53.179,
Na,6,1,1,8.57,185.017,,,,
Na,6,1,2,19.29,184.91,,50.334,50.334,
Na,6,1,3,30,184.803,,,,
Na,6,2,4,37.78,184.725,,38.662,38.662,
Na,6,2,5,48.89,184.614,,33.415,33.415,
Na,6,2,6,60,184.503,,33.15,33.15,
Na,6,3,8,75.71,184.346,,30.613,30.613,
Na,6,3,9,90,184.203,,31.97,31.97,
Na,6,4,10,97.78,184.125,,25.852,25.852,
Na,6,4,11,108.89,184.014,,38.643,38.643,
Na,6,4,12,120,183.903,,35.558,35.558,
Na,7,1,1,7.78,185.93,,28.327,28.327,
Na,7,1,2,18.89,185.819,,33.96,33.96,
Na,7,1,3,30,185.708,,28.897,28.897,
Na,7,2,4,40,185.608,,26.445,26.445,
Na,7,2,5,50,185.508,,20.547,20.547,
Na,7,2,6,60,185.408,,30.906,30.906,
Na,7,3,8,75.71,185.251,,30.676,30.676,
Na,7,3,9,90,185.108,,51.767,51.767,
Na,7,4,10,96,185.048,,47.254,47.254,
Na,7,4,11,108,184.928,,26.038,26.038,
Na,7,4,12,120,184.808,,28.983,28.983,
Na,8,1,1 (NRx2),5,186.514,,,,
Na,8,1,2,17.5,186.389,,42.392,42.392,
Na,8,1,3,30,186.264,,20.823,20.823,
Na,8,2,4,36.92,186.195,,24.864,24.864,
Na,8,2,5,48.46,186.079,,23.918,23.918,
Na,8,2,6,60,185.964,,22.623,22.623,
Na,8,3,7,70,185.864,,23.377,23.377,
Na,8,3,8,80,185.764,,23.958,23.958,
Na,8,3,9,90,185.664,,31.114,31.114,
Na,8,4,10,100,185.564,,24.045,24.045,
Na,8,4,11,110,185.464,,22.092,22.092,
Na,8,4,12,120,185.364,,,,
Na,9,1,1 (NRx2),6,185.498,,39.899,39.899,
Na,9,1,2,18,185.378,,34.287,34.287,
Na,9,1,3,30,185.258,,36.473,36.473,
Na,9,2,4,37.78,185.18,,32.694,32.694,
Na,9,2,5,48.89,185.069,,32.362,32.362,
Na,9,2,6,60,184.958,,28.756,28.756,
Na,9,3,7,68.57,184.872,,36.203,36.203,
Na,9,3,8,79.29,184.765,,25.413,25.413,
Na,9,3,9,90,184.658,,40.171,40.171,
Na,9,4,10,98.57,184.572,,35.182,35.182,
Na,9,4,11,109.29,184.465,,,,
Na,9,4,12,120,184.358,,80.537,80.537,
Na,10,1,1,10,185.057,,70.466,70.466,
Na,10,1,2,20,184.957,,62.557,62.557,
Na,10,1,3,30,184.857,,138.629,138.629,
Na,10,2,4,36.92,184.788,,73.473,73.473,
Na,10,2,5,48.46,184.672,,71.296,71.296,
Na,10,2,6,60,184.557,,45.831,45.831,
Na,10,3,7,66.92,184.488,,64.052,64.052,
Na,10,3,8,78.46,184.372,,81.583,81.583,
Na,10,3,9,90,184.257,,,,
Na,10,4,10 (NRx1),95,184.207,,95.647,95.647,
Na,10,4,11,107.5,184.082,,94.759,94.759,
Na,10,4,12,120,183.957,,31.505,31.505,
