well,core,section,section_recovery_cm,factor,section_length_cm,cum_depth_cm,bottom_elev_m,top_elev_m,inundation_fraction,dry_fraction
WLW9,4.0,12.0,10,1.07142857143,10.7142857143,120.0,184.357668,184.464810857,1.0,0.0
WLW10,1.0,1.0,10,1.0,10.0,10.0,185.0565512,185.1565512,0.00591533357338,0.994084666427
WLW10,1.0,2.0,10,1.0,10.0,20.0,184.9565512,185.0565512,0.152358417777,0.847641582223
WLW10,1.0,3.0,10,1.0,10.0,30.0,184.8565512,184.9565512,0.254565094388,0.745434905612
WLW10,2.0,4.0,6,1.15384615385,6.92307692308,36.9230769231,184.787320431,184.8565512,0.355177202819,0.644822797181
WLW10,2.0,5.0,10,1.15384615385,11.5384615385,48.4615384615,184.671935815,184.787320431,0.399053546628,0.600946453372
WLW10,2.0,6.0,10,1.15384615385,11.5384615385,60.0,184.5565512,184.671935815,0.460161514325,0.539838485675
WLW10,3.0,7.0,6,1.15384615385,6.92307692308,66.9230769231,184.487320431,184.5565512,0.536032097114,0.463967902886
WLW10,3.0,8.0,10,1.15384615385,11.5384615385,78.4615384615,184.371935815,184.487320431,0.599609073607,0.400390926393
WLW10,3.0,9.0,10,1.15384615385,11.5384615385,90.0,184.2565512,184.371935815,0.711486034669,0.288513965331
WLW10,4.0,10.0,4,1.25,5.0,95.0,184.2065512,184.2565512,0.999897124634,0.000102875366493
WLW10,4.0,11.0,10,1.25,12.5,107.5,184.0815512,184.2065512,1.0,0.0
WLW10,4.0,12.0,10,1.25,12.5,120.0,183.9565512,184.0815512,1.0,0.0
